Rentrée scolaire;Code région académique;Code région Insee;Région académique;Code académie;Académie;Code département;Département;Code Postal;Commune;Numéro de l'école;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre total de classes;Nombre total d'élèves;Nombre d'élèves en pré-élémentaire hors ULIS;Nombre d'élèves en élémentaire hors ULIS;Nombre d'élèves en ULIS;Nombre d'élèves en UEEA;Nombre d'élèves en CP hors ULIS;Nombre d'élèves en CE1 hors ULIS;Nombre d'élèves en CE2 hors ULIS;Nombre d'élèves en CM1 hors ULIS;Nombre d'élèves en CM2 hors ULIS;num_ligne
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921063F;ECOLE PRIMAIRE PRIVEE;SAINT ALEXANDRE;SECTEUR PRIVE;0;0;14.0;442.0;128.0;314.0;0.0;0;59.0;64.0;64.0;63.0;64.0;447975
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921258T;ECOLE ELEMENTAIRE APPLICATION;LES GLACIERES;SECTEUR PUBLIC;0;0;14.0;367.0;0.0;367.0;0.0;0;75.0;77.0;76.0;75.0;64.0;447977
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922118C;ECOLE MATERNELLE PUBLIQUE;ABONDANCES;SECTEUR PUBLIC;0;0;6.0;170.0;170.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;447978
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922225U;ECOLE ELEMENTAIRE PUBLIQUE;SEVRES;SECTEUR PUBLIC;0;0;15.0;367.0;0.0;357.0;10.0;0;79.0;82.0;68.0;69.0;59.0;447979
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0922722J;ECOLE PRIMAIRE PUBLIQUE;SCIENCES ET BIODIVERSITE;SECTEUR PUBLIC;0;0;18.0;466.0;177.0;289.0;0.0;0;93.0;79.0;56.0;27.0;34.0;447983
2017;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921065H;ECOLE PRIMAIRE PRIVEE;SAINT JOSEPH DU PARCHAMP;SECTEUR PRIVE;0;0;21.0;647.0;182.0;465.0;0.0;0;87.0;92.0;96.0;94.0;96.0;447990
2014;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921256R;ECOLE PRIMAIRE PUBLIQUE;SILLY;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;11.0;279.0;0.0;279.0;0.0;0;73.0;37.0;72.0;47.0;50.0;295342
2014;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921383D;ECOLE PRIMAIRE PRIVEE;SAINT FRANCOIS D'ASSISE;SECTEUR PRIVE;SANS OBJET;SANS OBJET;16.0;482.0;189.0;293.0;0.0;0;60.0;60.0;60.0;61.0;52.0;295343
2014;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0921884Y;ECOLE MATERNELLE PUBLIQUE;FORUM;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;5.0;98.0;98.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;295345
2014;10;11;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92100;BOULOGNE-BILLANCOURT;0920587N;ECOLE MATERNELLE PUBLIQUE;DOME;SECTEUR PUBLIC;SANS OBJET;SANS OBJET;8.0;212.0;212.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;295352
